iter	Passed	Remaining
0	168	168180
1	184	91926
2	199	66351
3	214	53526
4	230	45776
5	245	40684
6	261	37028
7	275	34130
8	290	32024
9	305	30286
10	321	28920
11	339	27916
12	360	27334
13	382	26940
14	407	26758
15	427	26318
16	449	26011
17	470	25689
18	492	25418
19	509	24968
20	528	24647
21	548	24380
22	564	23970
23	579	23570
24	594	23196
25	610	22887
26	625	22556
27	639	22207
28	653	21882
29	667	21572
30	682	21318
31	695	21052
32	711	20858
33	732	20802
34	745	20567
35	760	20364
36	774	20147
37	787	19942
38	801	19761
39	816	19586
40	830	19427
41	845	19286
42	862	19199
43	878	19090
44	905	19208
45	967	20074
46	993	20153
47	1012	20088
48	1032	20036
49	1075	20427
50	1103	20526
51	1133	20656
52	1163	20789
53	1186	20777
54	1206	20725
55	1226	20668
56	1243	20577
57	1263	20513
58	1282	20450
59	1301	20384
60	1322	20358
61	1349	20409
62	1371	20404
63	1396	20417
64	1419	20418
65	1438	20354
66	1467	20431
67	1493	20467
68	1514	20429
69	1532	20361
70	1551	20300
71	1570	20247
72	1589	20185
73	1611	20162
74	1632	20128
75	1649	20052
76	1668	19997
77	1688	19958
78	1708	19921
79	1727	19860
80	1749	19853
81	1770	19819
82	1798	19864
83	1828	19937
84	1844	19854
85	1871	19892
86	1907	20014
87	1933	20037
88	1954	20004
89	1976	19987
90	2053	20515
91	2075	20485
92	2099	20473
93	2150	20724
94	2179	20758
95	2204	20756
96	2223	20702
97	2241	20633
98	2258	20558
99	2279	20511
100	2307	20542
101	2329	20511
102	2371	20650
103	2399	20668
104	2437	20779
105	2474	20868
106	2506	20918
107	2537	20956
108	2565	20970
109	2596	21004
110	2653	21251
111	2684	21284
112	2716	21323
113	2749	21372
114	2812	21640
115	2840	21648
116	2858	21572
117	2873	21478
118	2888	21386
119	2906	21311
120	2922	21231
121	2940	21162
122	2955	21075
123	2971	20989
124	2986	20907
125	3003	20832
126	3019	20757
127	3039	20703
128	3061	20673
129	3081	20621
130	3102	20582
131	3132	20596
132	3178	20720
133	3214	20771
134	3239	20757
